Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-02-22,46.860932707366814,47.09597439585976,46.57365436680691,46.98280715942383,1145100,0.0,0
2017-02-23,47.209147936995656,47.2439701600214,46.73905788863804,47.069862365722656,1456100,0.0,0
2017-02-24,47.1307905395642,47.53123606492594,47.03503110505828,47.51382827758789,2108800,0.0,0
2017-02-27,47.48771320726481,47.52253542598448,46.90445598744341,47.261375427246094,1616000,0.0,0
2017-02-28,47.14821339396227,47.73147403997699,47.095980056447026,47.609596252441406,2668600,0.0,0
2017-03-01,47.03503781680542,47.9403956457248,46.89575225242012,47.670528411865234,1674900,0.0,0
2017-03-02,47.47030491730856,48.32342940163266,47.357137680992636,47.98392105102539,906400,0.0,0
2017-03-03,47.99262904292141,48.07097738054651,47.38325345259614,47.78369903564453,920800,0.0,0
2017-03-06,47.74887681429342,48.01874404851984,47.58347624412034,47.78369903564453,1138200,0.0,0
2017-03-07,47.75757764882718,47.853337084332765,47.62699599662332,47.722755432128906,1005200,0.0,0
2017-03-08,47.25267745752217,47.43549248115488,46.982813511717566,47.1133918762207,1061800,0.0,0
2017-03-09,47.23526634475571,47.47031138585759,47.10468798025258,47.1133918762207,1288000,0.0,0
2017-03-10,47.3766895140969,47.587332068746925,46.9378539276217,47.297698974609375,1891100,0.44,0
2017-03-13,47.25381345506481,47.61365848202077,47.18359815807358,47.560997009277344,1718200,0.0,0
2017-03-14,47.54344140999596,47.657539589322035,47.30647316162185,47.41179275512695,1685400,0.0,0
2017-03-15,47.59610745898887,48.289468491360886,47.51711691924965,48.08760452270508,1407800,0.0,0
2017-03-16,47.806750412279065,47.93839908090712,47.49956348938056,47.7014274597168,1388300,0.0,0
2017-03-17,47.771644497322605,48.51766369080621,47.72776160618533,48.315799713134766,2346100,0.0,0
2017-03-20,48.32457287700231,48.4737753597349,47.85062967058773,47.99983215332031,1380000,0.0,0
2017-03-21,47.92962142188699,48.80729256061981,47.92962142188699,48.70197296142578,1377100,0.0,0
2017-03-22,48.921399294190344,49.32512728501928,48.754639605941236,49.18470001220703,1776600,0.0,0
2017-03-23,49.02670607528858,49.588415019467206,48.982823191783886,49.19346237182617,1924400,0.0,0
2017-03-24,49.175910344277426,49.52698012123168,49.026707865304054,49.31633758544922,1141500,0.0,0
2017-03-27,49.518199727420175,49.64985172598365,49.123250427828545,49.19346237182617,1083300,0.0,0
2017-03-28,49.09692148656378,49.535757048700546,48.17536747568649,48.54399108886719,5066700,0.0,0
2017-03-29,48.44744974568589,48.57909841369314,48.122712346941505,48.38601303100586,1996800,0.0,0
2017-03-30,48.23680375652761,48.26313616669482,47.81552202239784,47.99983215332031,1310100,0.0,0
2017-03-31,47.88573453804413,48.19291807174338,47.83307306881737,47.91206359863281,2105200,0.0,0
2017-04-03,47.85062929064956,47.91206600046924,47.51711333159304,47.89451217651367,1428700,0.0,0
2017-04-04,47.94717828183357,48.30702333757286,47.824304850320146,48.02616882324219,977800,0.0,0
