Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-04-13,40.73307086642511,40.83028434577052,39.61509731167021,39.712310791015625,39700,0.0,0
2017-04-17,39.85814451651003,40.44143295288086,39.32346283176053,40.44143295288086,20200,0.0,0
2017-04-18,40.05257264691838,40.830291748046875,39.71231799061033,40.830291748046875,35000,0.0,0
2017-04-19,40.83028122976824,41.65660686651201,40.83028122976824,41.121925354003906,61500,0.0,0
2017-04-20,41.46217964907571,42.23989854472455,41.12192508266569,42.19129180908203,34300,0.0,0
2017-04-21,41.99686284728782,43.11483264585836,41.899645663636235,42.725975036621094,53300,0.0,0
2017-04-24,43.50370004874013,44.76749394533617,43.40648655994693,44.67028045654297,132900,0.0,0
2017-04-25,44.96191879029761,45.98267512384552,44.96191879029761,45.253562927246094,77300,0.0,0
2017-04-26,45.302180876553834,45.691042294356826,44.96192991731922,45.1563606262207,53500,0.0,0
2017-04-27,45.3021864583173,45.72021123600103,44.28142974638685,44.42725372314453,21700,0.0,0
2017-04-28,44.52445540041482,45.010530249127775,44.13559774651854,44.33002471923828,72600,0.0,0
2017-05-01,44.475849770499686,45.30217555061255,44.417519452149634,44.67028045654297,62000,0.0,0
2017-05-02,44.670280839777924,45.30217593926866,44.03838203183028,44.81610107421875,44900,0.0,0
2017-05-03,44.573062013363995,44.718885950934535,44.13559761756593,44.28141784667969,26400,0.0,0
2017-05-04,44.37864398023837,45.059145936753815,44.13560650763785,44.718894958496094,22800,0.0,0
2017-05-05,44.71888182789882,44.86470575202455,43.795338961500924,44.184200286865234,19700,0.0,0
2017-05-08,44.18420423122551,44.621672334199374,43.79534287114723,44.232810974121094,20000,0.0,0
2017-05-09,44.71888581999056,44.71888581999056,43.89256006539518,44.232810974121094,29700,0.0,0
2017-05-10,44.33002356786888,44.37863401824306,43.55230457181896,43.941165924072266,98800,0.0,0
2017-05-11,43.64951480310542,43.64951480310542,42.77457875429423,42.96900939941406,22500,0.0,0
2017-05-12,42.62875613832086,42.77458005370461,42.094074629340795,42.19129180908203,32000,0.0,0
2017-05-15,42.19130128888954,42.9690203592812,41.996870594177366,42.82319641113281,37600,0.0,0
2017-05-16,43.066231523284095,43.30926895141601,42.82319409515218,43.309268951416016,13200,0.0,0
2017-05-17,42.33712140786098,43.212057677342465,41.17054095137134,41.51079559326172,32200,0.0,0
2017-05-18,41.46218691604335,42.531550121427934,41.413576463424796,42.1426887512207,33700,0.0,0
2017-05-19,42.09408496219643,42.67737705845622,41.56912318809976,41.85104751586914,38600,0.0,0
2017-05-22,41.656613892690096,42.1426887512207,41.36496971926311,42.1426887512207,20900,0.0,0
2017-05-23,42.191297658737675,42.96901666221416,41.85104304515271,42.87179946899414,18400,0.0,0
2017-05-24,42.92041731399513,42.969024064750556,41.99687421581257,42.774593353271484,40200,0.0,0
2017-05-25,42.87180241643977,42.87180241643977,41.75383243097437,42.58015823364258,36200,0.0,0
2017-05-26,43.0662313952386,43.40648601868574,42.220462186222115,43.26066207885742,48400,0.0,0
2017-05-30,42.9204129983231,42.9204129983231,42.531551614465194,42.62876510620117,26500,0.0,0
2017-05-31,42.6773754335463,42.6773754335463,41.85104592242111,42.58015823364258,59500,0.0,0
2017-06-01,42.67736648030078,43.503692109614896,42.337111914704934,43.35786819458008,24100,0.0,0
2017-06-02,43.21205533506692,44.47584921590398,43.0662313952386,43.26066207885742,58300,0.0,0
2017-06-05,43.30926563997964,43.94116438819024,43.066228230430426,43.4550895690918,63000,0.0,0
2017-06-06,43.4550928916779,43.6495235758748,42.774587351217164,43.309268951416016,31100,0.0,0
2017-06-07,43.600910948250934,44.03837903875465,43.406483982210766,43.84394836425781,26300,0.0,0
2017-06-08,43.941162326032675,46.27431912313626,43.74673166582661,45.2049560546875,45600,0.0,0
2017-06-09,45.64242432584203,46.76039413744068,45.64242432584203,46.46875,78700,0.0,0
2017-06-12,46.711787210396125,48.41304899845342,46.371536336167225,47.58672332763672,79100,0.0,0
2017-06-13,48.0241956305026,48.07280237276582,47.246472920464015,47.732547760009766,40300,0.0,0
2017-06-14,47.48926447927528,47.683893357877295,46.37015492372858,47.24597930908203,50600,0.05,0
2017-06-15,47.002690794946936,47.58657738921319,43.36314698663901,47.343292236328125,23600,0.0,0
2017-06-16,46.90537479706276,47.537913921079756,46.27283196080922,46.516117095947266,63600,0.0,0
2017-06-19,46.856727769527836,47.294638129500925,46.46746999151032,46.9053840637207,43100,0.0,0
2017-06-20,46.856718512482466,46.954031081643066,46.27283196080922,46.516117095947266,16800,0.0,0
2017-06-21,46.467461464252885,46.85671917083761,45.640293478056115,45.737606048583984,30700,0.0,0
2017-06-22,45.59164472229253,46.22418772340252,45.25104692922562,45.688961029052734,37800,0.0,0
2017-06-23,45.64029531995015,45.64029531995015,45.056408736509304,45.25103759765625,104200,0.0,0
2017-06-26,44.76446939830345,46.27283664645107,44.618496817544646,45.7862663269043,51300,0.0,0
2017-06-27,45.93223908214854,47.00269230432306,45.494325050445525,45.834922790527344,54000,0.0,0
2017-06-28,46.126873687884306,46.710756661255026,45.786272193220206,46.32149887084961,43300,0.0,0
2017-06-29,46.95404185219906,46.95404185219906,45.71815263673487,46.32149887084961,48500,0.0,0
2017-06-30,46.467466950960855,46.9053809945168,45.7862677401224,46.126869201660156,36800,0.0,0
2017-07-03,46.27283845964691,47.391951723351596,46.12686958540527,47.197322845458984,24200,0.0,0
2017-07-05,47.10000364762052,47.148659932200815,46.17551939164863,46.516117095947266,35200,0.0,0
2017-07-06,46.51611975058821,46.95403376127544,45.98089316518683,46.224178314208984,52800,0.0,0
2017-07-07,46.37015380318714,47.002693003061935,46.32149380053469,46.954036712646484,36500,0.0,0
2017-07-10,46.954032937532276,46.954032937532276,45.98089235851606,46.02954864501953,35300,0.0,0
2017-07-11,46.224183427551445,46.90538266261542,44.91044496240011,46.564781188964844,41800,0.0,0
2017-07-12,46.46746904586029,47.00269569556412,46.20472060788121,46.6620979309082,36200,0.0,0
2017-07-13,46.662090479703686,46.75940305056974,46.27283277176623,46.71074676513672,36300,0.0,0
2017-07-14,46.32149870279136,46.56478389285274,45.64030314040942,46.27284240722656,28200,0.0,0
2017-07-17,46.02955798455727,46.56478466916798,46.02955798455727,46.467472076416016,26400,0.0,0
2017-07-18,46.078206541500094,46.5939735907206,46.05874699600815,46.41880798339844,31600,0.0,0
2017-07-19,46.37014905486891,47.294629614806276,46.32148905719926,46.71074676513672,51000,0.0,0
2017-07-20,46.6621003655137,47.29463963462575,46.02955738416424,46.32149887084961,49100,0.0,0
2017-07-21,48.65703213951393,48.65703213951393,43.9470312799195,45.834922790527344,52500,0.0,0
2017-07-24,45.883579645447625,45.883579645447625,44.618493926798905,45.0564079284668,94400,0.0,0
2017-07-25,45.49433212776985,46.418816624685405,45.29970322648697,45.688961029052734,51800,0.0,0
2017-07-26,45.83492802615285,45.83492802615285,45.15373246817771,45.202388763427734,19800,0.0,0
2017-07-27,44.95909616205421,45.49432274603075,44.66715472645217,45.25103759765625,20200,0.0,0
2017-07-28,45.1537198433663,45.1537198433663,44.4725207636145,44.91043472290039,19100,0.0,0
2017-07-31,45.056414262404566,45.10507055559952,44.56984390598068,44.715816497802734,48000,0.0,0
2017-08-01,45.202376125012215,45.202376125012215,44.764462165726314,44.91043472290039,43800,0.0,0
2017-08-02,44.95909819085806,45.056410769704435,44.375211581069,44.81312561035156,24500,0.0,0
2017-08-03,44.76446932092837,45.056410769704435,44.56984045099869,44.81312561035156,60200,0.0,0
2017-08-04,44.910442075823674,45.153727236121235,44.764469494750365,44.86178207397461,43700,0.0,0
2017-08-07,44.81312732440151,44.81312732440151,44.25843743683968,44.27790069580078,26500,0.0,0
